local_id,alert_type,env,qp_team,"tier",service,resource_name,query,monitor_text,notification,warning_threshold,warning_recovery_threshold,critical_threshold,critical_recovery_threshold,remediation_steps,silenced
P-L-SPKPROC,log,prod,messaging,"2",lambda,neptune-api-lambda-sparkpost-processor-Prod,"logs(""status:(critical OR error) service:neptune-api-lambda-sparkpost-processor-prod @aws.awslogs.owner:110990838838"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-M-SPKPROC,duration_metric,prod,messaging,"2",lambda,neptune-api-lambda-sparkpost-processor-Prod,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-api-lambda-sparkpost-processor-prod} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-L-PROOF,log,prod,messaging,"2",lambda,neptune-backend-lambda-post-message-proof-creation-process-Prod,"logs(""status:(critical OR error) service:neptune-backend-lambda-post-message-proof-creation-process-prod @aws.awslogs.owner:110990838838"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-M-PROOF,duration_metric,prod,messaging,"2",lambda,neptune-backend-lambda-post-message-proof-creation-process-Prod,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-backend-lambda-post-message-proof-creation-process-prod} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-L-CHANGE,log,prod,messaging,"2",lambda,neptune-backend-lambda-post-message-table-change-process-Prod,"logs(""status:(critical OR error) service:neptune-backend-lambda-post-message-table-change-process-prod @aws.awslogs.owner:110990838838"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-M-CHANGE,duration_metric,prod,messaging,"2",lambda,neptune-backend-lambda-post-message-table-change-process-Prod,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-backend-lambda-post-message-table-change-process-prod} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-L-CRUD,log,prod,messaging,"2",lambda,neptune-backend-lambda-post-crud-message-request-process-Prod,"logs(""status:(critical OR error) service:neptune-backend-lambda-post-crud-message-request-process-prod @aws.awslogs.owner:110990838838"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-M-CRUD,duration_metric,prod,messaging,"2",lambda,neptune-backend-lambda-post-crud-message-request-process-Prod,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-backend-lambda-post-crud-message-request-process-prod} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-L-BTASKS,log,prod,messaging,"2",lambda,neptune-backend-lambda-message-request-btasks-dispatcher-Prod,"logs(""status:(critical OR error) service:neptune-backend-lambda-message-request-btasks-dispatcher-prod @aws.awslogs.owner:110990838838"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-M-BTASKS,duration_metric,prod,messaging,"2",lambda,neptune-backend-lambda-message-request-btasks-dispatcher-Prod,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-backend-lambda-message-request-btasks-dispatcher-prod} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-E-STEP,event,prod,,"2",sfn,,"events(""priority:normal status:error tags:service:sfn,env:prod"").rollup(""count"").last(""5m"") > 0",Step Function Error Alert,@DevOpsNotifications@quickpivot.com,,,,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-L-BATCHSEND,log,prod,messaging,"2",batch,message-to-send-creator,"logs(""status:(critical OR error) source:cloudwatch @aws.awslogs.batchJobQueue:messages-to-send-creator @aws.awslogs.owner:110990838838"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-L-BATCHCSV,log,prod,messaging,"2",batch,message-csv-generator,"logs(""status:(critical OR error) source:cloudwatch @aws.awslogs.batchJobQueue:message-csv-generator @aws.awslogs.owner:110990838838"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-L-BATCHSPK,log,prod,messaging,"2",batch,send-messages-to_sparkpost,"logs(""status:(critical OR error) source:cloudwatch @aws.awslogs.batchJobQueue:send-messages-to_sparkpost @aws.awslogs.owner:110990838838"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-L-BATCHJOURNEY,log,prod,journey,"2",batch,prod-neptunejourneybackendprocess-BatchJobQueue,"logs(""status:(critical OR error) source:cloudwatch @aws.awslogs.batchJobQueue:prod-neptunejourneybackendprocess-BatchJobQueue @aws.awslogs.owner:110990838838"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-L-JNYCRUD,log,prod,journey,"2",lambda,neptune-api-lambda-journeys-crud-Prod,"logs(""status:(critical OR error) service:neptune-api-lambda-journeys-crud-prod @aws.awslogs.owner:110990838838"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-M-JNYCRUD,duration_metric,prod,journey,"2",lambda,neptune-api-lambda-journeys-crud-Prod,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-api-lambda-journeys-crud-prod} > 6000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,4000,3000,6000,5000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-L-JNYEXEC,log,prod,journey,"2",lambda,neptune-backend-journey-execution-Prod,"logs(""status:(critical OR error) service:neptune-api-lambda-journeys-crud-prod @aws.awslogs.owner:110990838838"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-M-JNYEXEC,duration_metric,prod,journey,"2",lambda,neptune-backend-journey-execution-Prod,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-backend-journey-execution-prod} > 9000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,7000,6000,9000,8000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-L-QUERY,log,prod,segmentation,"2",query_service,Query Service,"logs(""status:(critical OR error) source:cloudwatch host:""/queryservice/logs"" @aws.awslogs.owner:110990838838"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
